saturation_ratio,redundant_ro_calls,total_ro_calls,late_readonly_fraction,loop_fraction,loop_steps,stagnation_fraction,stagnation_windows,total_stag_windows,novelty_drop,error_shift,n_steps_used,task_idx,task_id,n_steps,n_subtasks,n_errors,n_api_calls,n_readonly_calls,n_unique_api_fqs,distinct_apps,n_complete_task_calls,chars_assistant,chars_output,outcome,score,success_flag,playbook_bullets,playbook_tokens,generate_s
0.3076923076923077,12,39,0.3333333333333333,0.0,0,0.0,0,41,0.7,0.0,45,46,6171bbc_2,45,4,0,51,39,18,5,4,17662,18979,success,1.0,1,94,11166,27.96249932050705
0.325,13,40,0.35,0.0,0,0.0,0,41,0.7096774193548387,0.0,45,47,6171bbc_3,45,4,0,52,40,18,5,4,18051,19940,success,1.0,1,97,11474,23.542944997549057
0.20454545454545456,9,44,0.4090909090909091,0.0,0,0.0,0,44,0.5428571428571429,0.0,48,48,6c2c621_1,48,4,0,58,44,21,6,4,17724,28617,success,1.0,1,98,11615,26.249862976372242
0.20512820512820512,8,39,0.3333333333333333,0.0,0,0.0,0,42,0.5161290322580645,0.0,46,49,6c2c621_2,46,4,0,53,39,20,6,4,17450,21704,success,1.0,1,100,11962,26.01800649613142
0.1794871794871795,7,39,0.3333333333333333,0.0,0,0.0,0,43,0.5333333333333333,0.0,47,50,6c2c621_3,47,4,0,52,39,20,6,4,19319,22584,success,1.0,1,102,12219,31.89684196561575
0.2777777777777778,10,36,0.2777777777777778,0.0,0,0.0,0,40,0.6153846153846154,0.0,44,51,396c5a2_1,44,4,0,47,36,18,5,4,16461,29625,success,1.0,1,106,12979,22.98783937841654
0.21052631578947367,8,38,0.3157894736842105,0.0,0,0.0,0,39,0.5862068965517242,0.0,43,52,396c5a2_2,43,4,0,49,38,20,5,4,16531,21535,success,1.0,1,107,13117,23.419943191111088
0.21052631578947367,8,38,0.3157894736842105,0.0,0,0.0,0,38,0.5862068965517242,0.0,42,53,396c5a2_3,42,4,0,49,38,20,5,4,17149,21126,success,1.0,1,108,13228,21.722934998571873
0.2391304347826087,11,46,0.43478260869565216,0.0,0,0.0,0,44,0.6285714285714286,0.041666666666666664,48,54,4fab96f_1,48,4,1,58,46,20,6,4,17937,35569,success,1.0,1,112,14080,25.96040115505457
0.25,9,36,0.2777777777777778,0.0,0,0.0,0,40,0.5555555555555556,0.0,44,55,4fab96f_2,44,4,0,48,36,19,6,4,17379,42055,success,1.0,1,115,14363,22.957788601517677
0.25,9,36,0.2777777777777778,0.0,0,0.0,0,40,0.5555555555555556,0.0,44,56,4fab96f_3,44,4,0,48,36,19,6,4,18477,18725,success,1.0,1,117,14560,23.18599943816662
